benchmarking,file,topic,description,started_at_time,ended_time,duration_secs,number_of_bytes
benchmarking,simulator_no_flask,read_image_from_disk,,1517237319.5594933,1517237319.5639272,0.004433870315551758,-1
benchmarking,simulator_no_flask,image_binning,,1517237319.5639858,1517237319.5639873,1.430511474609375e-06,-1
benchmarking,simulator_no_flask,image_to_bytes,,1517237319.564007,1517237319.6150417,0.05103468894958496,-1
benchmarking,simulator_no_flask,prepare_image_bytes_method,,1517237319.5594933,1517237319.6150844,0.05559110641479492,-1
benchmarking,simulator_no_flask,stream_file,,1517237319.615234,1517237319.6361248,0.02089095115661621,-1
benchmarking,simulator_no_flask,read_image_from_disk,,1517237319.6463187,1517237319.6491501,0.0028314590454101562,-1
benchmarking,simulator_no_flask,image_binning,,1517237319.6491945,1517237319.6491954,9.5367431640625e-07,-1
benchmarking,simulator_no_flask,image_to_bytes,,1517237319.649214,1517237319.7000046,0.05079054832458496,-1
benchmarking,simulator_no_flask,prepare_image_bytes_method,,1517237319.6463187,1517237319.7000468,0.05372810363769531,-1
benchmarking,simulator_no_flask,stream_file,,1517237319.7000692,1517237319.7215488,0.02147960662841797,-1
benchmarking,simulator_no_flask,read_image_from_disk,,1517237319.731702,1517237319.733469,0.0017669200897216797,-1
benchmarking,simulator_no_flask,image_binning,,1517237319.733544,1517237319.733546,1.9073486328125e-06,-1
benchmarking,simulator_no_flask,image_to_bytes,,1517237319.7335768,1517237319.7990878,0.06551098823547363,-1
benchmarking,simulator_no_flask,prepare_image_bytes_method,,1517237319.731702,1517237319.7991335,0.06743144989013672,-1
benchmarking,simulator_no_flask,stream_file,,1517237319.799157,1517237319.8195276,0.0203707218170166,-1
benchmarking,simulator_no_flask,read_image_from_disk,,1517237319.829734,1517237319.8309243,0.001190185546875,-1
benchmarking,simulator_no_flask,image_binning,,1517237319.8309727,1517237319.8309736,9.5367431640625e-07,-1
benchmarking,simulator_no_flask,image_to_bytes,,1517237319.830992,1517237319.9081678,0.07717585563659668,-1
benchmarking,simulator_no_flask,prepare_image_bytes_method,,1517237319.829734,1517237319.908234,0.07849979400634766,-1
benchmarking,simulator_no_flask,stream_file,,1517237319.9082625,1517237319.9292972,0.021034717559814453,-1
benchmarking,simulator_no_flask,read_image_from_disk,,1517237319.939479,1517237319.9410908,0.0016117095947265625,-1
benchmarking,simulator_no_flask,image_binning,,1517237319.9411492,1517237319.9411507,1.430511474609375e-06,-1
benchmarking,simulator_no_flask,image_to_bytes,,1517237319.9411736,1517237319.9955418,0.05436825752258301,-1
benchmarking,simulator_no_flask,prepare_image_bytes_method,,1517237319.939479,1517237319.995587,0.05610799789428711,-1
benchmarking,simulator_no_flask,stream_file,,1517237319.9956102,1517237320.0119727,0.016362428665161133,-1
benchmarking,simulator_no_flask,read_image_from_disk,,1517237320.0220942,1517237320.0233119,0.0012176036834716797,-1
benchmarking,simulator_no_flask,image_binning,,1517237320.0233588,1517237320.0233598,9.5367431640625e-07,-1
benchmarking,simulator_no_flask,image_to_bytes,,1517237320.023378,1517237320.0729873,0.04960942268371582,-1
benchmarking,simulator_no_flask,prepare_image_bytes_method,,1517237320.0220942,1517237320.0730276,0.0509333610534668,-1
benchmarking,simulator_no_flask,stream_file,,1517237320.073049,1517237320.094245,0.02119588851928711,-1
benchmarking,simulator_no_flask,read_image_from_disk,,1517237320.1044183,1517237320.1061635,0.0017452239990234375,-1
benchmarking,simulator_no_flask,image_binning,,1517237320.1062083,1517237320.1062093,9.5367431640625e-07,-1
benchmarking,simulator_no_flask,image_to_bytes,,1517237320.1062334,1517237320.1681538,0.0619204044342041,-1
benchmarking,simulator_no_flask,prepare_image_bytes_method,,1517237320.1044183,1517237320.1682055,0.06378722190856934,-1
benchmarking,simulator_no_flask,stream_file,,1517237320.1684449,1517237320.1859238,0.01747894287109375,-1
benchmarking,simulator_no_flask,read_image_from_disk,,1517237320.1960635,1517237320.1989217,0.0028581619262695312,-1
benchmarking,simulator_no_flask,image_binning,,1517237320.1989677,1517237320.198969,1.1920928955078125e-06,-1
benchmarking,simulator_no_flask,image_to_bytes,,1517237320.1989872,1517237320.2463603,0.047373056411743164,-1
benchmarking,simulator_no_flask,prepare_image_bytes_method,,1517237320.1960635,1517237320.2464032,0.050339698791503906,-1
benchmarking,simulator_no_flask,stream_file,,1517237320.24664,1517237320.2671292,0.020489215850830078,-1
benchmarking,simulator_no_flask,read_image_from_disk,,1517237320.2773228,1517237320.280575,0.003252267837524414,-1
benchmarking,simulator_no_flask,image_binning,,1517237320.280619,1517237320.2806199,9.5367431640625e-07,-1
benchmarking,simulator_no_flask,image_to_bytes,,1517237320.2806382,1517237320.3301215,0.049483299255371094,-1
benchmarking,simulator_no_flask,prepare_image_bytes_method,,1517237320.2773228,1517237320.3301642,0.0528414249420166,-1
benchmarking,simulator_no_flask,stream_file,,1517237320.330399,1517237320.3476558,0.017256736755371094,-1
